group,shots,covered,coverage_pct,mae,p50,p75,p90,bias,max
Good non-driver headline,87,76,87.35632183908046,0.8349438832725062,0.6728611936650211,1.2038714587636021,1.8036543769418918,-0.04138551430791071,4.452999999999992
Good driver,22,18,81.81818181818181,3.553746756513396,1.3088895351593948,1.817138115677606,15.568900000000022,3.3876326646485238,16.5
Far-right mishits / shanks,19,13,68.42105263157895,2.2021300288959798,1.1562189735907218,3.073489949562604,5.098984493716432,-0.5409072280759412,7.438999999999991
Skulls / very low launch,5,5,100.0,5.999591511568719,2.0650000000000244,3.513000000000001,15.466800000000017,4.308341017743144,23.436000000000025
Good non-driver Jul14 Block A,41,39,95.1219512195122,0.8284803879156533,0.7828819633542246,1.2540069326016585,1.805419812336178,-0.10057177147183347,2.059517889235556
Good non-driver Jul17,46,37,80.43478260869566,0.8417567567567565,0.589999999999991,1.189000000000016,1.7004000000000066,0.021000000000007877,4.452999999999992
Good non-driver 5Iron,22,18,81.81818181818181,0.8216921924992493,0.6864409816771078,1.311999999999977,1.840235460329073,-0.2541870019998836,1.9812483305775288
Good non-driver 7Iron,21,18,85.71428571428571,0.9073689441525544,0.49232666031512995,1.1471618296867336,1.884444690935569,-0.06202874054757866,4.452999999999992
Good non-driver 9Iron,27,25,92.5925925925926,0.8898562679288059,0.8130000000000095,1.1766263620548472,1.7316000000000062,0.23564350139821272,2.095000000000006
Good non-driver SandWedge,17,15,88.23529411764706,0.6724151980505239,0.45517747285,1.060648346253961,1.5794455318527099,-0.22296688376681406,1.8028873185224548
Good driver Jul14 Block A,9,5,55.55555555555556,1.5822883234481726,1.3727522435348938,1.8515174875701241,2.7700770981136977,1.0842775927346142,3.3824501718094133
Shanks Jul14 Block A,8,7,87.5,2.3960986250925336,1.2871380627878786,3.81280205376481,4.825549325841724,-0.15039913785532352,5.2357020776537855
Good driver Jul17,13,13,100.0,4.312000000000021,1.2140000000000022,1.714000000000052,15.675400000000016,4.2735384615384895,16.5
Shanks Jul17,11,6,54.54545454545455,1.975833333333334,0.781000000000003,1.432000000000007,4.537,-0.9964999999999952,7.438999999999991
