key,session,label,notes
A_normal_144038/shot_vB_001.l3dump,B1,skull,
A_normal_144038/shot_vB_002.l3dump,B1,low,
A_normal_144038/shot_vB_003.l3dump,B1,good,
A_normal_144038/shot_vB_004.l3dump,B1,good,
A_normal_144038/shot_vB_005.l3dump,B1,good,
A_normal_144038/shot_vB_006.l3dump,B1,good,
A_normal_144038/shot_vB_007.l3dump,B1,good,
B_reversed_144354/shot_vBR_001.l3dump,BR,low,
B_reversed_144354/shot_vBR_002.l3dump,BR,good,
B_reversed_144354/shot_vBR_003.l3dump,BR,good,
B_reversed_144354/shot_vBR_004.l3dump,BR,good,
B_reversed_144354/shot_vBR_005.l3dump,BR,lowish,
B_reversed_144354/shot_vBR_006.l3dump,BR,good,
B_reversed_144354/shot_vBR_007.l3dump,BR,lowish,
B_reversed_144354/shot_vBR_008.l3dump,BR,lowish,
B_reversed_144354/shot_vBR_009.l3dump,BR,good,
B_reversed_144354/shot_vBR_010.l3dump,BR,lowish,
B_reversed_144354/shot_vBR_011.l3dump,BR,good,
B_reversed_144354/shot_vBR_012.l3dump,BR,high,
B_reversed_144354/shot_vBR_013.l3dump,BR,good,
A_normal_144914/shot_vB_001.l3dump,B2,skull,
A_normal_144914/shot_vB_002.l3dump,B2,high,
A_normal_144914/shot_vB_003.l3dump,B2,good,
A_normal_144914/shot_vB_004.l3dump,B2,high,
A_normal_144914/shot_vB_005.l3dump,B2,good,
A_normal_144914/shot_vB_006.l3dump,B2,lowish,one of two consecutive lowish swings was not captured
A_normal_144914/shot_vB_007.l3dump,B2,good,
A_normal_144914/shot_vB_008.l3dump,B2,good,
