shot,club,block,model,window,center_source,tdm_residual,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,peak,none,all,3.8,25,7,13.862926887710545,16.77799999999999,-2.9150731122894467,-0.9775600698402555,-0.9292916478017753,0.04826842203848014,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,peak,none,all,3.8,25,7,13.78722293221237,16.77799999999999,-2.990777067787622,-1.0560156962151124,-1.00736075645997,0.048654939755142346,nan,0.18865460546997237,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four3,hann,peak,none,all,3.8,25,7,15.084129627415788,16.77799999999999,-1.693870372584204,-1.1623233389394365,-1.1545982921249716,0.007725046814464953,0.21577266919932514,0.1611426365184812,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,peak,none,all,3.8,25,7,14.719773510991974,16.77799999999999,-2.0582264890080175,-1.3316457437723916,-1.323912013734033,0.007733730038358644,0.280901054035539,0.13238670751460815,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,peak,none,all,3.8,16,4,7.9747853677611165,11.487999999999987,-3.5132146322388706,-0.8032502436118322,-0.7780020049171936,0.025248238694638547,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,peak,none,all,3.8,16,4,8.245037284770422,11.487999999999987,-3.242962715229565,-0.9352870799530003,-0.9136699070861142,0.021617172866886136,nan,0.261663075732392,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four3,hann,peak,none,all,3.8,16,4,6.335599144175081,11.487999999999987,-5.152400855824906,-0.9750005355714907,-0.9609231450683592,0.014077390503131504,0.3524449501988307,0.3728037449879624,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,peak,none,all,3.8,16,4,4.159544197192131,11.487999999999987,-7.328455802807856,-1.1631065340544435,-1.1361424625710432,0.026964071483400298,0.574645761351301,0.3438213574240182,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,peak,none,all,3.8,21,6,16.09268165776355,20.468999999999983,-4.376318342236434,-1.0091375238644702,-0.887510409595646,0.12162711426882422,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,peak,none,all,3.8,21,6,15.504392448878791,20.468999999999983,-4.964607551121192,-1.0600824847193406,-0.9342957668154351,0.1257867179039055,nan,0.15753664120227706,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four3,hann,peak,none,all,3.8,21,6,18.002485743296035,20.468999999999983,-2.466514256703949,-1.1840870061294213,-1.1580530875213064,0.02603391860811488,0.23655293303246228,0.16533967710126302,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four4,hann,peak,none,all,3.8,21,6,17.834660775461927,20.468999999999983,-2.6343392245380564,-1.2393744086182519,-1.212732447762164,0.026641960856087943,0.30526034497499227,0.1408213726059574,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
65,9Iron,A,direct1,hann,peak,none,all,3.8,24,6,13.116603738545532,17.449000000000005,-4.332396261454473,-1.0359454378962376,-0.9613441181776047,0.07460131971863293,nan,nan,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,two2,hann,peak,none,all,3.8,24,6,12.84159079296554,17.449000000000005,-4.607409207034465,-1.161311259137194,-1.0638440559936932,0.09746720314350066,nan,0.201630856192759,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four3,hann,peak,none,all,3.8,24,6,14.05591748336369,17.449000000000005,-3.3930825166363157,-1.2512285490402053,-1.2278862201338827,0.023342328906322596,0.20484625133687281,0.16562574859833282,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four4,hann,peak,none,all,3.8,24,6,13.119794173928732,17.449000000000005,-4.329205826071274,-1.422051576242685,-1.3887944496827493,0.033257126559935735,0.2888802631557683,0.16062997513632404,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
66,9Iron,A,direct1,hann,peak,none,all,3.8,20,5,14.181662587384977,21.533999999999995,-7.352337412615018,-0.9287409993792884,-0.7395911436783877,0.1891498557009007,nan,nan,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,two2,hann,peak,none,all,3.8,20,5,13.700743760690754,21.533999999999995,-7.833256239309241,-1.0039279742387783,-0.7963380930525024,0.20758988118627597,nan,0.20682947611669555,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,four3,hann,peak,none,all,3.8,20,5,15.934231152395682,21.533999999999995,-5.599768847604313,-1.2036000734781473,-1.0912285371927921,0.11237153628535523,0.25031288625361403,0.13202694197496603,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,four4,hann,peak,none,all,3.8,20,5,17.407225387930627,21.533999999999995,-4.126774612069369,-1.3017662761722082,-1.2249890444281153,0.0767772317440929,0.31456382013641826,0.15200203257563266,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
67,9Iron,A,direct1,hann,peak,none,all,3.8,22,6,16.347146335605878,21.057999999999993,-4.710853664394115,-1.0182452467926473,-0.9561362492719393,0.062108997520707976,nan,nan,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,two2,hann,peak,none,all,3.8,22,6,16.421161502544376,21.057999999999993,-4.636838497455617,-1.0712868569851628,-1.0127506908329165,0.05853616615224633,nan,0.14830086334300868,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,four3,hann,peak,none,all,3.8,22,6,15.195580452730981,21.057999999999993,-5.8624195472690115,-1.2668893950192095,-1.1913142593474004,0.07557513567180907,0.26661637173236574,0.12583744134048874,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
67,9Iron,A,four4,hann,peak,none,all,3.8,22,6,15.700190003418703,21.057999999999993,-5.35780999658129,-1.3636427855000424,-1.3109261338752505,0.05271665162479189,0.2994459831807257,0.13518770751349432,48.23553604477545,45.86818820896334,0.1524,10.404948650719305
68,9Iron,A,direct1,hann,peak,none,all,3.8,20,5,-2.8314930647872956,5.689999999999997,-8.521493064787293,-1.14746355512677,-0.7989090188556466,0.3485545362711234,nan,nan,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,two2,hann,peak,none,all,3.8,20,5,-3.177159151377177,5.689999999999997,-8.867159151377173,-1.2520438873183355,-1.172806756492892,0.07923713082544359,nan,0.8828612287737085,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,four3,hann,peak,none,all,3.8,20,5,-2.4957907186406407,5.689999999999997,-8.185790718640638,-1.2810504580707076,-1.1994023440808714,0.08164811398983618,1.0039567806419638,1.0287130053275206,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
68,9Iron,A,four4,hann,peak,none,all,3.8,20,5,-2.2507584532227254,5.689999999999997,-7.940758453222722,-1.4468776782132888,-1.38679970522124,0.06007797299204887,1.007121518540104,1.0178864226630577,48.23553604477545,47.56644566975043,0.1524,10.404948650719305
