shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,peak,none,ops,second,4.7,13,4,15.776411321148652,16.77799999999999,-1.0015886788513395,-0.8637060360244995,-0.855602903142086,0.008103132882413489,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,peak,none,ops,second,4.7,13,4,15.421272023284468,16.77799999999999,-1.3567279767155238,-0.9038088368819153,-0.8925556034517643,0.011253233430150944,nan,0.16566759023432925,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,peak,none,ops,second,4.7,13,4,16.232714440637093,16.77799999999999,-0.5452855593628989,-0.9883652479720499,-0.9878017002624233,0.0005635477096266328,0.20640610856732838,0.1162467196684898,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,peak,none,ops,second,4.7,8,2,6.938429970761064,11.487999999999987,-4.549570029238923,-0.8439253426005779,-0.7911612941112813,0.05276404848929661,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,peak,none,ops,second,4.7,8,2,7.9744107736713925,11.487999999999987,-3.5135892263285946,-0.8774108282409654,-0.8485627327145739,0.02884809552639145,nan,0.20001745459370046,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,peak,none,ops,second,4.7,8,2,2.7272403917018027,11.487999999999987,-8.760759608298184,-1.0416341006058036,-1.00999004509596,0.031644055509843616,0.6888281066140262,0.4103747773105588,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,peak,none,ops,second,4.7,11,5,16.266849338062904,20.468999999999983,-4.202150661937079,-0.769580484022017,-0.6770927741476818,0.09248770987433519,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,peak,none,ops,second,4.7,11,5,16.18630744663223,20.468999999999983,-4.2826925533677525,-0.8093391839261062,-0.7228672584241347,0.08647192550197147,nan,0.1597673231528402,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four4,hann,peak,none,ops,second,4.7,11,5,18.256542269157805,20.468999999999983,-2.2124577308421784,-0.9329716144216332,-0.9117976643908833,0.021173950030749955,0.3073504450190967,0.19072798482297634,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
65,9Iron,A,direct1,hann,peak,none,ops,second,4.7,13,4,16.54971129151318,17.449000000000005,-0.8992887084868251,-0.915683849691296,-0.9093178991583737,0.0063659505329223265,nan,nan,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,two2,hann,peak,none,ops,second,4.7,13,4,16.02690508910407,17.449000000000005,-1.422094910895936,-0.9515042754816051,-0.9461302692223588,0.005374006259246333,nan,0.11060907330788047,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
65,9Iron,A,four4,hann,peak,none,ops,second,4.7,13,4,15.622305474173121,17.449000000000005,-1.826694525826884,-1.071138972847709,-1.063987654811564,0.0071513180361448825,0.19241723218927434,0.13286218369821812,49.75546952533371,47.4667803687637,0.1524,10.404948650719305
66,9Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,17.369133451460186,21.533999999999995,-4.164866548539809,-0.81138452789562,-0.729908211837615,0.08147631605800498,nan,nan,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
66,9Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,16.721078264743188,21.533999999999995,-4.812921735256808,-0.8544456374395134,-0.771963880403181,0.08248175703633243,nan,0.16241520171656376,50.023693080726346,48.11344544831894,0.1524,10.404948650719305
