shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
62,9Iron,A,direct1,hann,track,positive,25,7,13.911285328390443,16.77799999999999,-2.8667146716095484,-0.9661980689135987,-0.919613382295072,0.04658468661852677,nan,nan,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,two2,hann,track,positive,25,7,13.543545974096231,16.77799999999999,-3.2344540259037604,-1.0479121212293974,-0.9958437073668229,0.052068413862574436,nan,0.19179249763190812,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four3,hann,track,positive,25,7,14.293321926031293,16.77799999999999,-2.4846780739686984,-1.1530282117531923,-1.1389783923046994,0.014049819448492817,0.23147858167833188,0.1553144743738635,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
62,9Iron,A,four4,hann,track,positive,25,7,13.830203492450574,16.77799999999999,-2.947796507549418,-1.3233129598801232,-1.3104775502222201,0.012835409657903085,0.26969054275810234,0.14234813125855683,44.569814121076114,43.08422175707952,0.1524,10.404948650719305
63,9Iron,A,direct1,hann,track,positive,16,4,8.772544640362263,11.487999999999987,-2.7154553596377244,-0.7852619054015171,-0.762840727734617,0.022421177666900105,nan,nan,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,two2,hann,track,positive,16,4,8.608612636547107,11.487999999999987,-2.8793873634528797,-0.922508595572594,-0.9050284537176075,0.017480141854986475,nan,0.26275493031331426,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four3,hann,track,positive,16,4,8.204475315430159,11.487999999999987,-3.2835246845698283,-0.9605846356606109,-0.9545513733867214,0.006033262273889561,0.36819543367703234,0.3374151001401886,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
63,9Iron,A,four4,hann,track,positive,16,4,8.127043722203664,11.487999999999987,-3.3609562777963227,-1.1271210476789035,-1.120150856630427,0.006970191048476515,0.48826704565342705,0.2460048670513974,39.92060582760378,39.69922948327173,0.1524,10.404948650719305
64,9Iron,A,direct1,hann,track,positive,22,7,16.542283173009857,20.468999999999983,-3.926716826990127,-0.9443500706806786,-0.8509127387480258,0.0934373319326528,nan,nan,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,two2,hann,track,positive,22,7,16.253955163918945,20.468999999999983,-4.215044836081038,-0.9980420483628165,-0.9087214905156351,0.0893205578471814,nan,0.155101745320706,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four3,hann,track,positive,22,7,18.46252209229893,20.468999999999983,-2.006477907701054,-1.1195236098772852,-1.1003002527869847,0.01922335709030043,0.23971503426557506,0.1679442207901276,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
64,9Iron,A,four4,hann,track,positive,22,7,18.21057318534567,20.468999999999983,-2.258426814654314,-1.171900280762309,-1.1515558019738705,0.02034447878843837,0.3106168524525455,0.14333124906048555,49.263726340447214,47.26284337702736,0.1524,10.404948650719305
