shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
62,9Iron,first3,local,31,8.151358888064319,16.77799999999999,-8.626641111935673,16.50280601038162,-8.3514471223173,-14.944771471460042,-6.591544489621358,14.475968811906581,0.8223392489387618,0.8738078109920561,0.0,0.0
62,9Iron,first3,truth,32,8.497826471045967,16.77799999999999,-8.280173528954025,16.502501053006764,-8.004674581960797,-13.526966277988706,-6.601533700156911,14.461414204299075,0.8274797414991617,0.8587983684526483,0.0,3.125
62,9Iron,middle3,local,40,9.088133545368063,16.77799999999999,-7.689866454631929,16.45402558392262,-7.365892038554556,-14.913360940879784,-5.515279361088897,16.042467244312768,0.8319565032474202,0.8898251813556051,0.0,0.0
62,9Iron,middle3,truth,40,9.63087061287875,16.77799999999999,-7.147129387121241,16.45392476428826,-6.82305415140951,-13.913360940879782,-5.515279361088897,16.042467244312768,0.8323255655208567,0.8879673789115994,0.0,0.0
62,9Iron,last3,local,31,10.776161883959448,16.77799999999999,-6.001838116040544,16.400937228200128,-5.62477534424068,-14.881950410299522,-4.558030616086066,17.432662626482617,0.8469518595902629,0.8973786461744159,0.0,0.0
62,9Iron,last3,truth,31,11.34352897866817,16.77799999999999,-5.434471021331822,16.400922081773672,-5.057393103105502,-13.88195041029952,-4.558030616086066,17.432662626482617,0.8505752456159316,0.8938014030727085,0.0,3.225806451612903
63,9Iron,first3,local,36,6.078647221051638,11.487999999999987,-5.4093527789483495,11.09080288316205,-5.012155662110413,-10.528749307989191,-8.750933098232462,10.20065928088631,0.8031227146994002,0.8099894005466557,0.0,2.7777777777777777
63,9Iron,first3,truth,35,5.706967227564414,11.487999999999987,-5.781032772435573,11.09007613811466,-5.383108910550247,-11.60233091278041,-8.744270520198224,10.209027052060387,0.8070564620736542,0.8120732404465622,0.0,0.0
63,9Iron,middle3,local,34,5.232420875918252,11.487999999999987,-6.255579124081735,11.062496834077395,-5.830075958159143,-11.500270804989771,-8.044637946875081,11.085406116544949,0.8071126626839762,0.8282560366020176,0.0,2.941176470588235
63,9Iron,middle3,truth,34,4.968229461958074,11.487999999999987,-6.5197705380419135,11.063058069847656,-6.094828607889583,-12.184920927813604,-8.044637946875081,11.085406116544949,0.8123270218961556,0.8336405592246504,0.0,0.0
