shot,club,block,lcmf_v1_angle_deg,trackman_ball_mph,ops_raw_mph,ops_corrected_mph,raw_error_mph,corrected_error_mph
62,9Iron,A,17.994095394863027,99.7,96.9,99.56811603223498,-2.799999999999997,-0.13188396776502032
63,9Iron,A,10.291705061876018,89.30000000000001,87.6,89.34079713371757,-1.700000000000017,0.040797133717560996
64,9Iron,A,20.353325793017817,110.2,106.7,109.58499428619126,-3.5,-0.6150057138087419
65,9Iron,A,18.133796466671946,111.3,108.0,110.64742349790245,-3.299999999999997,-0.6525765020975456
66,9Iron,A,19.915247961713813,111.9,108.5,111.3321182221324,-3.4000000000000057,-0.567881777867612
67,9Iron,A,21.734879701166847,107.9,104.5,107.53620121727471,-3.4000000000000057,-0.3637987827252971
68,9Iron,A,3.417228189189549,107.9,106.6,107.41434724908233,-1.3000000000000114,-0.48565275091768
69,9Iron,A,21.970827225790995,116.8,113.2,116.21880677979712,-3.5999999999999943,-0.5811932202028771
70,9Iron,A,22.169154664392092,109.0,105.3,108.37627958862663,-3.700000000000003,-0.6237204113733696
71,9Iron,A,21.73829017928395,110.60000000000001,107.1,110.12424813461858,-3.500000000000014,-0.4757518653814259
72,7Iron,A,6.822857549979524,76.5,77.1,78.31234219192231,0.5999999999999943,1.812342191922312
73,7Iron,A,19.31577057445453,112.9,109.8,112.56526529141321,-3.1000000000000085,-0.33473470858679377
74,7Iron,A,18.20218069989022,120.60000000000001,117.2,119.82378089364079,-3.4000000000000057,-0.7762191063592212
75,7Iron,A,18.42933476823023,117.8,114.4,117.05684008322154,-3.3999999999999915,-0.7431599167784526
76,7Iron,A,12.903469187945172,103.99999999999999,101.8,103.87222681029684,-2.1999999999999886,-0.12777318970314866
77,7Iron,A,15.129136664602157,103.9,101.4,103.7331605764907,-2.5,-0.1668394235093018
78,7Iron,A,2.168388766818614,69.3,71.0,71.42599697063523,1.7000000000000028,2.125996970635228
79,7Iron,A,13.643848650985335,111.3,108.2,110.35050117667224,-3.0999999999999943,-0.9494988233277581
80,7Iron,A,15.531097264330906,106.1,103.4,105.77466834200878,-2.6999999999999886,-0.3253316579912138
81,7Iron,A,9.149573201500022,109.0,106.5,108.1077865087191,-2.5,-0.8922134912808986
82,7Iron,A,16.930458357680404,108.6,105.6,108.12487583878446,-3.0,-0.4751241612155326
83,7Iron,A,17.956241022516576,112.0,108.5,111.12716285600973,-3.5,-0.8728371439902674
84,7Iron,A,16.314238182416627,122.0,118.6,121.02295223205194,-3.4000000000000057,-0.9770477679480649
86,5Iron,A,14.605337916286285,111.9,109.3,111.55801448479133,-2.6000000000000085,-0.3419855152086768
87,5Iron,A,15.193013283803365,118.2,115.2,117.5106498962215,-3.0,-0.6893501037785086
88,5Iron,A,2.8146385971557604,98.6,87.4,88.03414582295596,-11.199999999999989,-10.56585417704403
90,5Iron,A,12.466118620055388,120.9,118.3,120.30169847924095,-2.6000000000000085,-0.5983015207590512
91,5Iron,A,11.94385718737802,105.6,103.0,104.95526860775242,-2.5999999999999943,-0.6447313922475786
92,5Iron,A,8.460135553361074,107.6,105.2,106.71805716044807,-2.3999999999999915,-0.8819428395519253
93,5Iron,A,1.333201047289219,87.0,89.2,89.60143044017296,2.200000000000003,2.6014304401729618
94,5Iron,A,12.528563888332885,129.6,126.6,128.59632247663376,-3.0,-1.0036775233662354
95,5Iron,A,15.858922071762564,114.6,111.7,114.09162878060336,-2.8999999999999915,-0.5083712193966363
96,5Iron,A,13.240991611398897,129.6,126.4,128.47518690682801,-3.1999999999999886,-1.12481309317198
97,5Iron,A,12.567589412535469,127.40000000000002,124.3,126.30412207522279,-3.1000000000000227,-1.095877924777227
98,5Iron,A,14.713331962200131,132.1,128.7,130.92887904196073,-3.4000000000000057,-1.1711209580392676
99,5Iron,A,14.731806921408692,130.8,127.5,129.73349635071324,-3.3000000000000114,-1.0665036492867728
101,5Iron,A,15.567532399804431,127.7,124.5,126.82873438509031,-3.200000000000003,-0.8712656149096887
103,Driver,A,11.994518343944128,148.1,145.2,147.01143132088092,-2.9000000000000057,-1.0885686791190778
104,Driver,A,16.728258049846637,137.7,134.2,136.52982854962073,-3.5,-1.1701714503792573
105,Driver,A,3.3425458200219094,143.9,139.9,140.63755804523203,-4.0,-3.2624419547679793
112,Driver,A,13.23904765894812,153.4,150.6,152.5361705325958,-2.8000000000000114,-0.8638294674042015
113,Driver,A,13.627012385270882,146.6,143.4,145.38916089892493,-3.1999999999999886,-1.2108391010750665
114,Driver,A,15.973441569630632,153.8,150.2,152.4149024010712,-3.6000000000000227,-1.3850975989288088
115,SandWedge,A,31.474167208532446,70.1,66.4,70.84157153955839,-3.6999999999999886,0.7415715395583931
116,SandWedge,A,30.493256614944325,66.5,69.4,73.67491651019,2.9000000000000057,7.174916510190002
117,SandWedge,A,28.52883279233468,75.6,73.9,77.87646219220503,-1.6999999999999886,2.276462192205031
118,SandWedge,A,32.05919969437099,72.8,70.2,74.68583759772108,-2.5999999999999943,1.8858375977210784
119,SandWedge,A,26.726915966270187,74.1,71.9,75.67066747154757,-2.1999999999999886,1.57066747154758
120,SandWedge,A,26.759364445689283,69.6,67.4,71.20749677096869,-2.1999999999999886,1.6074967709686945
121,SandWedge,A,24.566258590480682,69.1,66.2,69.75380893399749,-2.8999999999999915,0.653808933997496
122,SandWedge,A,30.414016173122654,69.5,65.9,70.19699612478762,-3.5999999999999943,0.6969961247876171
123,SandWedge,A,28.956229910759117,81.8,77.9,81.89589558791532,-3.8999999999999915,0.09589558791532227
124,SandWedge,A,27.53774877374437,84.19999999999999,80.3,84.10313867357594,-3.8999999999999915,-0.09686132642404743
130,9Iron (relabeled),B,24.33424593946976,102.29999999999998,96.7,102.40717239491877,-5.59999999999998,0.10717239491879127
131,9Iron (relabeled),B,22.44977822693361,110.2,104.9,110.16052220568488,-5.299999999999997,-0.03947779431511833
132,9Iron (relabeled),B,20.11377247131785,92.70000000000002,88.3,93.32772913426265,-4.40000000000002,0.627729134262637
133,9Iron,B,22.373859115163466,106.2,100.9,106.19343043480693,-5.299999999999997,-0.006569565193075277
134,9Iron,B,14.877163434542203,108.1,103.5,107.5729193316784,-4.599999999999994,-0.5270806683215881
137,9Iron,B,18.65857788100522,112.0,106.9,111.51005433166215,-5.099999999999994,-0.48994566833785314
142,9Iron,C,17.06702778120606,101.9,98.5,101.69203108748954,-3.4000000000000057,-0.20796891251046645
144,9Iron,C,21.697839640159906,105.6,101.4,105.14268372217697,-4.199999999999989,-0.45731627782302553
145,9Iron,C,20.987291830575234,109.0,104.8,108.4338407534282,-4.200000000000003,-0.5661592465718002
146,9Iron,C,7.679661274029815,93.7,92.1,94.02513130234566,-1.6000000000000085,0.32513130234565324
147,9Iron,C,22.80387128635457,107.39999999999999,102.9,106.77697540981885,-4.499999999999986,-0.6230245901811458
149,9Iron,C,25.782614021882456,113.1,108.3,112.54657875417566,-4.799999999999997,-0.5534212458243388
151,9Iron,C,18.367156230906545,103.0,99.0,102.34899137200108,-4.0,-0.6510086279989196
152,7Iron,C,18.368405835031012,117.0,113.1,116.38600990382209,-3.9000000000000057,-0.6139900961779148
167,7Iron,C,16.895343697605938,127.19999999999999,123.0,126.07692240917679,-4.199999999999989,-1.1230775908232005
168,7Iron,C,17.87762503536129,122.8,118.5,121.7062214570154,-4.299999999999997,-1.0937785429845945
