shot,club,trackman_launch_deg,trackman_ball_mph,ops_ball_mph,lcmf_v1_angle_deg,status
62,9Iron,16.77799999999999,99.7,96.9,17.994095394863027,accepted
63,9Iron,11.487999999999987,89.30000000000001,87.6,10.291705061876018,accepted
64,9Iron,20.468999999999983,110.2,106.7,20.353325793017817,accepted
65,9Iron,17.449000000000005,111.3,108.0,18.133796466671946,accepted
66,9Iron,21.533999999999995,111.9,108.5,19.915247961713813,accepted
67,9Iron,21.057999999999993,107.9,104.5,21.734879701166847,accepted
68,9Iron,5.689999999999997,107.9,106.6,3.417228189189549,accepted
69,9Iron,21.013999999999996,116.8,113.2,21.970827225790995,accepted
70,9Iron,22.12999999999998,109.0,105.3,22.169154664392092,accepted
71,9Iron,21.279999999999987,110.60000000000001,107.1,21.73829017928395,accepted
72,7Iron,1.6789999999999963,76.5,77.1,6.822857549979524,accepted
73,7Iron,18.677999999999987,112.9,109.8,19.31577057445453,accepted
74,7Iron,16.30699999999998,120.60000000000001,117.2,18.20218069989022,accepted
75,7Iron,17.240999999999993,117.8,114.4,18.42933476823023,accepted
76,7Iron,12.092000000000013,103.99999999999999,101.8,12.903469187945172,accepted
77,7Iron,13.927999999999987,103.9,101.4,15.129136664602157,accepted
78,7Iron,6.121999999999985,69.3,71.0,2.168388766818614,accepted
79,7Iron,15.657999999999998,111.3,108.2,13.643848650985335,accepted
80,7Iron,14.687999999999988,106.1,103.4,15.531097264330906,accepted
81,7Iron,9.146999999999982,109.0,106.5,9.149573201500022,accepted
82,7Iron,17.27599999999998,108.6,105.6,16.930458357680404,accepted
83,7Iron,18.87599999999999,112.0,108.5,17.956241022516576,accepted
84,7Iron,16.949999999999992,122.0,118.6,16.314238182416627,accepted
86,5Iron,14.677,111.9,109.3,14.605337916286285,accepted
87,5Iron,15.406999999999991,118.2,115.2,15.193013283803365,accepted
88,5Iron,0.5110000000000001,98.6,87.4,2.8146385971557604,accepted
89,5Iron,15.646999999999995,123.4,120.2,,no_measurement_insufficient_strict_coverage
90,5Iron,12.959999999999992,120.9,118.3,12.466118620055388,accepted
91,5Iron,9.892999999999994,105.6,103.0,11.94385718737802,accepted
92,5Iron,10.917999999999983,107.6,105.2,8.460135553361074,accepted
93,5Iron,1.5239999999999743,87.0,89.2,1.333201047289219,accepted
94,5Iron,13.115999999999982,129.6,126.6,12.528563888332885,accepted
95,5Iron,14.271999999999982,114.6,111.7,15.858922071762564,accepted
96,5Iron,14.196999999999997,129.6,126.4,13.240991611398897,accepted
97,5Iron,14.368000000000002,127.40000000000002,124.3,12.567589412535469,accepted
98,5Iron,14.74200000000001,132.1,128.7,14.713331962200131,accepted
99,5Iron,14.71499999999999,130.8,127.5,14.731806921408692,accepted
100,5Iron,16.019999999999992,124.2,121.0,,no_measurement_insufficient_strict_coverage
101,5Iron,14.392000000000003,127.7,124.5,15.567532399804431,accepted
102,5Iron,15.962999999999989,122.2,119.0,,no_measurement_insufficient_strict_coverage
103,Driver,10.004000000000007,148.1,145.2,11.994518343944128,accepted
104,Driver,17.990000000000002,137.7,134.2,16.728258049846637,accepted
105,Driver,5.857999999999973,143.9,139.9,3.3425458200219094,accepted
106,Driver,12.557000000000004,154.3,151.0,,no_measurement_insufficient_strict_coverage
109,Driver,17.058999999999973,144.4,140.6,,no_measurement_insufficient_strict_coverage
110,Driver,14.276000000000021,153.1,149.3,,no_measurement_insufficient_strict_coverage
111,Driver,10.58699999999998,147.3,144.1,,no_measurement_insufficient_strict_coverage
112,Driver,10.008999999999974,153.4,150.6,13.23904765894812,accepted
113,Driver,13.960999999999997,146.6,143.4,13.627012385270882,accepted
114,Driver,14.620999999999993,153.8,150.2,15.973441569630632,accepted
115,SandWedge,31.661999999999985,70.1,66.4,31.474167208532446,accepted
116,SandWedge,29.217000000000002,66.5,69.4,30.493256614944325,accepted
117,SandWedge,30.729999999999986,75.6,73.9,28.52883279233468,accepted
118,SandWedge,33.168000000000006,72.8,70.2,32.05919969437099,accepted
119,SandWedge,26.353999999999992,74.1,71.9,26.726915966270187,accepted
120,SandWedge,27.744999999999997,69.6,67.4,26.759364445689283,accepted
121,SandWedge,24.805000000000007,69.1,66.2,24.566258590480682,accepted
122,SandWedge,31.036999999999985,69.5,65.9,30.414016173122654,accepted
123,SandWedge,29.30099999999999,81.8,77.9,28.956229910759117,accepted
124,SandWedge,28.975,84.19999999999999,80.3,27.53774877374437,accepted
