time_et,club,tm_ball_mph,tm_club_mph,tm_la_deg,tm_spin_rpm,tm_carry_yds,of_ball_mph,of_club_mph,ti_ball_mph,ti_la_free,ti_la_tee,ti_la_two_ray,ti_file,dt_ti_s,dt_of_s,ti_ball_mph_fixed
20:29:25,9Iron,99.7,83.7,16.77799999999999,6980.000000000002,129.9,96.9,71.2,96.4,10.1,9.6,16.0,/home/pacinoj/openflight_shots/shot_vB_062.l3dump,-0.4,5.0,96.4
20:29:51,9Iron,89.3,81.1,11.487999999999987,4299.999999999996,101.6,87.6,60.9,88.8,-4.7,2.2,7.2,/home/pacinoj/openflight_shots/shot_vB_063.l3dump,-0.5,4.6,88.8
20:30:10,9Iron,110.2,83.0,20.468999999999983,6699.999999999997,149.1,106.7,82.8,105.7,29.4,22.2,27.9,/home/pacinoj/openflight_shots/shot_vB_064.l3dump,-0.4,5.0,105.7
20:31:17,9Iron,111.3,83.8,17.449000000000005,6279.999999999995,152.4,108.0,79.7,106.2,30.5,20.6,26.2,/home/pacinoj/openflight_shots/shot_vB_065.l3dump,-0.3,4.6,106.2
20:31:37,9Iron,111.9,84.1,21.533999999999995,6999.999999999997,149.9,108.5,84.6,107.6,22.8,22.7,22.5,/home/pacinoj/openflight_shots/shot_vB_066.l3dump,-0.5,5.0,107.6
20:32:04,9Iron,107.9,82.6,21.057999999999993,6770.0,144.9,104.5,82.8,102.6,29.8,27.5,25.0,/home/pacinoj/openflight_shots/shot_vB_067.l3dump,-0.4,5.2,102.6
20:32:29,9Iron,107.9,83.6,5.689999999999997,4010.000000000003,114.6,106.6,83.3,106.4,8.8,5.3,5.5,/home/pacinoj/openflight_shots/shot_vB_068.l3dump,-0.4,4.6,106.4
20:32:50,9Iron,116.8,86.4,21.013999999999996,6689.999999999997,158.4,113.2,85.7,112.4,27.8,19.2,28.1,/home/pacinoj/openflight_shots/shot_vB_069.l3dump,-0.5,4.6,112.4
20:33:11,9Iron,109.0,85.4,22.12999999999998,6809.9999999999945,145.9,105.3,85.7,104.7,24.0,27.6,21.4,/home/pacinoj/openflight_shots/shot_vB_070.l3dump,-0.5,5.1,104.7
20:33:39,9Iron,110.6,84.6,21.279999999999987,7199.9999999999945,147.2,107.1,84.3,107.0,21.5,25.7,26.9,/home/pacinoj/openflight_shots/shot_vB_071.l3dump,-0.5,4.9,107.0
